record_no,company,project,province,district,corregimiento,capacity_mw,commercial_operation_date,status,technology
61,Photovoltaics Business Corp.,Ecosolar 3,Chiriqui,Barú,Progreso ,10.0,Por definir ,Prueba ,Fotovoltaica
62,Photovoltaics Operations Corp.,Ecosolar 4,Chiriqui,Barú,Progreso ,10.0,Por definir ,Prueba ,Fotovoltaica
63,Photovoltaics Venture Corp.,Ecosolar 5,Chiriqui,Barú,Progreso ,10.0,Por definir ,Prueba ,Fotovoltaica
64,AES Panamá S.R.L,Nuevo Chagres Fase I,Coclé,Penonomé,Coclé y el Coco,55.0,26 de febrero de 2018,Operación Comercial,Eólicas
65,"UEP Penonomé II, S. A.",Rosa de los Vientos (Etapa I y II),Coclé,Penonomé,Coclé y el Coco,102.5,19 de febrero de 2018,Operación Comercial,Eólicas
66,"UEP Penonomé II, S. A.",Nuevo Chagres Fase 2  (Etapa I),Coclé,Penonomé,Coclé y el Coco,62.5,19 de febrero de 2018,Operación Comercial,Eólicas
67,"UEP Penonomé II, S. A.",Portobello Bastillas (Etapa I),Coclé,Penonomé,Coclé y el Coco,32.5,19 de febrero de 2018,Operación Comercial,Eólicas
68,"UEP Penonomé II, S. A.",Marañón,Coclé,Penonomé,Coclé y el Coco,17.5,19 de febrero de 2018,Operación Comercial,Eólicas
69," Parque  Eólico Toabré, S.A.",Toabre,Cocle,Penonomé-Toabre ,Tolú,66.0,Por definir ,Prueba ,Eólicas
70,"Urbalia Panamá, S.A.",Cerro Patacón,Panamá,Panamá,Ancón,8.1,Por definir ,PRUEBA,Biogas
